member_id,card_tier,tenure_days,signup_date,engagement_propensity
M00000,Platinum,328,2025-08-29,0.15784085149944235
M00001,Gold,1407,2022-09-15,0.5298115439843974
M00002,Gold,1250,2023-02-19,0.35039129207902125
M00003,Gold,520,2025-02-18,0.13323762617821636
M00004,Platinum,241,2025-11-24,0.6572043256591775
M00005,Platinum,505,2025-03-05,0.2705978714913083
M00006,Platinum,47,2026-06-06,0.18158980919783793
M00007,Gold,406,2025-06-12,0.5619785881285826
M00008,Gold,209,2025-12-26,0.09447631079545801
M00009,Gold,143,2026-03-02,0.4876026827640238
M00010,Gold,32,2026-06-21,0.4490672140055949
M00011,Gold,308,2025-09-18,0.7546010709426965
M00012,Gold,54,2026-05-30,0.3659696172985247
M00013,Gold,53,2026-05-31,0.26755326436227744
M00014,Platinum,281,2025-10-15,0.41375287273430084
M00015,Gold,710,2024-08-12,0.25249283616527607
M00016,Gold,1001,2023-10-26,0.5767053245381507
M00017,Platinum,390,2025-06-28,0.4466059122572963
M00018,Platinum,1666,2021-12-30,0.5440948147251506
M00019,Gold,56,2026-05-28,0.2997950109100793
M00020,Platinum,702,2024-08-20,0.3860745470348627
M00021,Platinum,542,2025-01-27,0.29685330414082756
M00022,Gold,1192,2023-04-18,0.015590494027415818
M00023,Gold,288,2025-10-08,0.3025117856919123
M00024,Centurion,316,2025-09-10,0.6833981516718347
M00025,Gold,26,2026-06-27,0.1616891895186843
M00026,Gold,1672,2021-12-24,0.33581904702633375
M00027,Gold,194,2026-01-10,0.46937168872586077
M00028,Platinum,320,2025-09-06,0.427574287528859
M00029,Platinum,1262,2023-02-07,0.27137857554058564
M00030,Platinum,792,2024-05-22,0.44268028189332626
M00031,Platinum,134,2026-03-11,0.10835061329829057
M00032,Gold,291,2025-10-05,0.25303765448044974
M00033,Centurion,567,2025-01-02,0.1006812023256057
M00034,Gold,1614,2022-02-20,0.07464082043098946
M00035,Platinum,1591,2022-03-15,0.38060552006998577
M00036,Platinum,123,2026-03-22,0.31469048185470405
M00037,Platinum,762,2024-06-21,0.6065124149754494
M00038,Platinum,871,2024-03-04,0.41828023110118906
M00039,Platinum,1324,2022-12-07,0.2943441034831767
M00040,Platinum,215,2025-12-20,0.5729339036295289
M00041,Gold,488,2025-03-22,0.11844279281886627
M00042,Gold,230,2025-12-05,0.4128007162320117
M00043,Gold,2154,2020-08-29,0.257987285542402
M00044,Gold,391,2025-06-27,0.21680638757268508
M00045,Gold,266,2025-10-30,0.6391433783830215
M00046,Gold,590,2024-12-10,0.5609887919774049
M00047,Gold,511,2025-02-27,0.3705023440680356
M00048,Platinum,311,2025-09-15,0.6352315822757852
M00049,Gold,1711,2021-11-15,0.34768973897114863
M00050,Gold,288,2025-10-08,0.47426488152186314
M00051,Gold,438,2025-05-11,0.16623665172098528
M00052,Gold,26,2026-06-27,0.18515222558885278
M00053,Centurion,1028,2023-09-29,0.43612036232038465
M00054,Platinum,530,2025-02-08,0.26048095042556646
M00055,Platinum,508,2025-03-02,0.6334631211307831
M00056,Gold,57,2026-05-27,0.65500211802072
M00057,Platinum,119,2026-03-26,0.42007489060210107
M00058,Gold,229,2025-12-06,0.40270006694571114
M00059,Gold,380,2025-07-08,0.47636570315145965
M00060,Centurion,86,2026-04-28,0.28367399616748007
M00061,Platinum,473,2025-04-06,0.7050993763579887
M00062,Platinum,669,2024-09-22,0.1740886979887981
M00063,Platinum,489,2025-03-21,0.45423841603099413
M00064,Platinum,719,2024-08-03,0.376582093569171
M00065,Platinum,343,2025-08-14,0.18873887753816063
M00066,Gold,341,2025-08-16,0.2695019475620189
M00067,Gold,16,2026-07-07,0.19076925556975333
M00068,Gold,693,2024-08-29,0.3685770406917377
M00069,Gold,136,2026-03-09,0.42727592728166114
M00070,Gold,325,2025-09-01,0.15741528778400207
M00071,Centurion,392,2025-06-26,0.41306797127409
M00072,Platinum,492,2025-03-18,0.19206271100827363
M00073,Gold,7,2026-07-16,0.4630454473465894
M00074,Platinum,699,2024-08-23,0.11438213364147631
M00075,Gold,977,2023-11-19,0.40520835920194404
M00076,Centurion,41,2026-06-12,0.5757231129542072
M00077,Gold,61,2026-05-23,0.6758855568205978
M00078,Gold,3020,2018-04-16,0.28288736016258514
M00079,Gold,2988,2018-05-18,0.4039885827417577
M00080,Platinum,572,2024-12-28,0.38960433256622046
M00081,Gold,40,2026-06-13,0.33963364219692443
M00082,Platinum,612,2024-11-18,0.4646078967446386
M00083,Platinum,177,2026-01-27,0.20722809524199526
M00084,Gold,564,2025-01-05,0.16730003497249468
M00085,Gold,424,2025-05-25,0.3402040439201064
M00086,Centurion,230,2025-12-05,0.4347409199763445
M00087,Gold,227,2025-12-08,0.8709581839107561
M00088,Gold,56,2026-05-28,0.6404508265568497
M00089,Gold,808,2024-05-06,0.6770920397987139
M00090,Gold,1407,2022-09-15,0.676356159824408
M00091,Platinum,3054,2018-03-13,0.1932517814443421
M00092,Platinum,1275,2023-01-25,0.05372492227643431
M00093,Gold,1400,2022-09-22,0.37881589727092807
M00094,Gold,1326,2022-12-05,0.6136338526069225
M00095,Gold,652,2024-10-09,0.6939039710778242
M00096,Centurion,84,2026-04-30,0.20824910108707387
M00097,Gold,1338,2022-11-23,0.47281746918902084
M00098,Centurion,100,2026-04-14,0.5028691648592731
M00099,Platinum,10,2026-07-13,0.8304722184404253
M00100,Gold,1641,2022-01-24,0.8080512124300797
M00101,Platinum,681,2024-09-10,0.10208780360226652
M00102,Platinum,474,2025-04-05,0.7922970604930837
M00103,Gold,96,2026-04-18,0.6083413801668794
M00104,Gold,1589,2022-03-17,0.7328739705589424
M00105,Platinum,29,2026-06-24,0.40562908937617786
M00106,Gold,89,2026-04-25,0.14959251752105518
M00107,Gold,820,2024-04-24,0.23217739653972053
M00108,Gold,44,2026-06-09,0.630018292889619
M00109,Centurion,164,2026-02-09,0.7708189222740056
M00110,Platinum,434,2025-05-15,0.6903597101929799
M00111,Gold,531,2025-02-07,0.5200292134820446
M00112,Gold,219,2025-12-16,0.35686888046087195
M00113,Gold,277,2025-10-19,0.5295483138523914
M00114,Centurion,63,2026-05-21,0.598624290179225
M00115,Platinum,95,2026-04-19,0.4393198920491532
M00116,Gold,308,2025-09-18,0.37153690355342034
M00117,Platinum,116,2026-03-29,0.33013840344182255
M00118,Platinum,133,2026-03-12,0.4472934218839129
M00119,Gold,1189,2023-04-21,0.3039487685371764
M00120,Platinum,569,2024-12-31,0.13404296245841546
M00121,Gold,273,2025-10-23,0.5210839818716807
M00122,Platinum,660,2024-10-01,0.5892744526709724
M00123,Gold,532,2025-02-06,0.5768721053929112
M00124,Gold,3220,2017-09-28,0.4036201459914496
M00125,Gold,999,2023-10-28,0.8979256327365919
M00126,Gold,1856,2021-06-23,0.22040970113238278
M00127,Centurion,48,2026-06-05,0.26058301602980005
M00128,Platinum,1110,2023-07-09,0.4806403682841007
M00129,Platinum,765,2024-06-18,0.228128397762136
M00130,Gold,1187,2023-04-23,0.42848010727170843
M00131,Gold,963,2023-12-03,0.03779886022671849
M00132,Platinum,548,2025-01-21,0.4882236781108714
M00133,Centurion,691,2024-08-31,0.3879288992147903
M00134,Gold,533,2025-02-05,0.37850631244194416
M00135,Gold,199,2026-01-05,0.4462165979703477
M00136,Gold,1465,2022-07-19,0.17298143503257557
M00137,Platinum,182,2026-01-22,0.20981428066946917
M00138,Platinum,547,2025-01-22,0.7614350829803552
M00139,Gold,612,2024-11-18,0.21886120170459747
M00140,Gold,617,2024-11-13,0.4045579886874419
M00141,Gold,1882,2021-05-28,0.32852595457416006
M00142,Gold,115,2026-03-30,0.6589158452420548
M00143,Platinum,1906,2021-05-04,0.8018001863869977
M00144,Gold,1278,2023-01-22,0.13923630541269566
M00145,Gold,39,2026-06-14,0.6467786179763814
M00146,Gold,1766,2021-09-21,0.05553157305279535
M00147,Platinum,178,2026-01-26,0.26350493745715153
M00148,Gold,380,2025-07-08,0.2163677039261098
M00149,Gold,9,2026-07-14,0.09608849932797929
M00150,Centurion,4000,2015-08-10,0.2625405992740141
M00151,Platinum,164,2026-02-09,0.5042709904654158
M00152,Gold,447,2025-05-02,0.1577195066352744
M00153,Gold,358,2025-07-30,0.3748680716067875
M00154,Gold,327,2025-08-30,0.7430538298490044
M00155,Gold,118,2026-03-27,0.37446752782948595
M00156,Gold,183,2026-01-21,0.4222427459244114
M00157,Platinum,190,2026-01-14,0.39570361667642795
M00158,Gold,1241,2023-02-28,0.7829793723921922
M00159,Gold,1586,2022-03-20,0.6586305011833474
M00160,Gold,1190,2023-04-20,0.25301183957414564
M00161,Platinum,218,2025-12-17,0.06961488393786573
M00162,Gold,244,2025-11-21,0.5549424549687826
M00163,Centurion,15,2026-07-08,0.7403050260641204
M00164,Platinum,105,2026-04-09,0.14873565330598748
M00165,Gold,1719,2021-11-07,0.5857268478948885
M00166,Gold,737,2024-07-16,0.23796840268359506
M00167,Platinum,1611,2022-02-23,0.30440566846396605
M00168,Gold,134,2026-03-11,0.2587860479438781
M00169,Gold,33,2026-06-20,0.595645425113133
M00170,Centurion,197,2026-01-07,0.1920993912304668
M00171,Platinum,246,2025-11-19,0.323931432642999
M00172,Gold,212,2025-12-23,0.5079721865646692
M00173,Platinum,284,2025-10-12,0.26740531912716403
M00174,Platinum,399,2025-06-19,0.5910196212074033
M00175,Gold,222,2025-12-13,0.5983376228303784
M00176,Gold,102,2026-04-12,0.5678708651011141
M00177,Gold,1444,2022-08-09,0.27385134999848637
M00178,Gold,1324,2022-12-07,0.5754285557730588
M00179,Gold,28,2026-06-25,0.43070397199137467
M00180,Platinum,1729,2021-10-28,0.49773895387579536
M00181,Platinum,450,2025-04-29,0.3854888422841053
M00182,Centurion,26,2026-06-27,0.1077250188267858
M00183,Gold,834,2024-04-10,0.7265962106957558
M00184,Gold,542,2025-01-27,0.16783870072124987
M00185,Gold,669,2024-09-22,0.26947081213853935
M00186,Platinum,4000,2015-08-10,0.6908554903296251
M00187,Gold,691,2024-08-31,0.16575689367953236
M00188,Gold,190,2026-01-14,0.4566573822415586
M00189,Gold,186,2026-01-18,0.3459034978258776
M00190,Gold,172,2026-02-01,0.4881150093119766
M00191,Gold,440,2025-05-09,0.4285536042063098
M00192,Gold,503,2025-03-07,0.5557716462766109
M00193,Centurion,1058,2023-08-30,0.14959013785014555
M00194,Gold,116,2026-03-29,0.3817806354547449
