member_id,nudge_date,channel,acted_within_14d
M00000,2026-03-15,email,0
M00000,2026-07-01,push,1
M00000,2026-07-01,in_app,0
M00000,2026-03-24,email,0
M00000,2026-03-21,push,1
M00000,2026-03-28,email,0
M00000,2026-03-11,push,1
M00000,2025-11-20,push,0
M00000,2026-03-17,email,0
M00001,2025-11-30,in_app,0
M00001,2026-01-04,in_app,1
M00001,2026-06-28,in_app,1
M00001,2026-05-29,in_app,0
M00001,2025-11-01,push,0
M00001,2026-02-23,in_app,1
M00002,2025-07-28,push,0
M00002,2026-07-13,push,0
M00002,2026-03-02,in_app,1
M00002,2025-07-30,email,1
M00002,2026-03-20,email,0
M00002,2026-06-17,in_app,0
M00002,2026-03-03,in_app,0
M00002,2026-07-18,in_app,1
M00002,2026-03-23,in_app,0
M00003,2025-08-16,in_app,0
M00003,2026-04-02,in_app,0
M00003,2026-04-10,push,0
M00003,2026-04-25,push,0
M00004,2026-07-10,push,1
M00004,2025-10-09,push,0
M00004,2026-02-04,push,1
M00004,2025-07-26,email,0
M00004,2025-09-25,in_app,0
M00005,2025-12-15,email,1
M00005,2026-07-02,email,0
M00005,2026-06-29,push,1
M00005,2026-05-24,push,0
M00005,2026-07-09,email,0
M00005,2025-10-15,in_app,1
M00005,2025-10-25,push,0
M00005,2026-01-05,email,0
M00006,2025-12-27,email,0
M00006,2025-10-12,email,1
M00006,2026-05-10,push,0
M00006,2026-04-11,in_app,0
M00006,2026-01-16,push,0
M00006,2025-12-13,push,0
M00006,2025-12-02,push,0
M00007,2026-03-06,in_app,1
M00007,2026-03-21,in_app,1
M00007,2026-05-30,email,0
M00007,2025-09-01,in_app,1
M00007,2025-08-29,in_app,1
M00007,2026-03-13,email,0
M00007,2026-05-30,push,0
M00007,2026-07-11,push,0
M00007,2025-07-26,push,0
M00007,2026-05-30,push,1
M00008,2025-11-28,push,0
M00008,2025-08-19,push,0
M00008,2025-08-14,in_app,0
M00008,2026-02-06,email,0
M00008,2025-12-01,in_app,1
M00008,2026-04-19,email,1
M00008,2026-03-17,in_app,0
M00008,2026-02-23,email,0
M00008,2025-09-16,email,0
M00008,2025-12-31,email,0
M00008,2025-11-20,push,0
M00009,2025-11-07,email,0
M00009,2026-05-19,push,1
M00009,2025-11-09,email,1
M00009,2026-06-09,push,0
M00009,2025-11-07,push,1
M00009,2025-11-02,push,1
M00009,2026-03-10,in_app,1
M00009,2026-04-12,push,1
M00010,2026-03-07,push,1
M00010,2025-09-19,email,0
M00010,2025-10-25,in_app,1
M00010,2026-03-09,push,0
M00010,2025-08-03,in_app,0
M00010,2025-09-09,email,0
M00011,2026-02-11,push,1
M00011,2025-08-21,in_app,0
M00011,2026-05-01,push,1
M00011,2026-06-08,push,1
M00011,2026-04-17,email,1
M00011,2025-07-29,push,1
