member_id,benefit_id,claimed_date,value_claimed
M00001,extended_warranty,2026-03-04,144.33
M00005,lounge_access,2026-07-11,40.19
M00006,travel_delay,2026-06-07,409.55
M00007,purchase_protection,2026-03-21,80.32
M00007,extended_warranty,2025-12-09,113.78
M00007,dining_credit,2025-12-29,74.5
M00009,purchase_protection,2025-12-20,227.1
M00010,extended_warranty,2026-02-22,279.94
M00010,dining_credit,2025-08-09,86.05
M00011,dining_credit,2026-03-08,23.88
M00012,purchase_protection,2025-10-07,63.43
M00012,dining_credit,2026-07-04,30.42
M00014,extended_warranty,2026-04-13,93.36
M00014,lounge_access,2025-12-07,69.58
M00014,hotel_credit,2026-05-04,196.56
M00015,extended_warranty,2026-03-14,114.79
M00015,dining_credit,2026-03-23,91.07
M00017,purchase_protection,2025-11-18,152.26
M00017,extended_warranty,2025-12-11,83.2
M00019,dining_credit,2026-05-13,24.9
M00020,purchase_protection,2025-11-20,184.75
M00021,lounge_access,2026-04-02,54.04
M00021,hotel_credit,2025-12-25,127.6
M00023,purchase_protection,2025-08-31,239.35
M00023,dining_credit,2026-05-24,90.66
M00024,purchase_protection,2026-04-23,182.93
M00024,extended_warranty,2025-08-17,488.24
M00025,dining_credit,2026-05-15,64.39
M00027,purchase_protection,2026-03-16,150.96
M00028,extended_warranty,2026-01-28,339.98
M00028,hotel_credit,2025-10-12,58.83
M00030,purchase_protection,2025-09-20,173.82
M00030,travel_delay,2025-10-18,278.0
M00032,dining_credit,2026-05-27,68.14
M00033,lounge_access,2026-07-10,62.5
M00034,dining_credit,2026-04-22,52.28
M00036,extended_warranty,2026-07-15,337.12
M00036,hotel_credit,2026-01-28,141.8
M00037,purchase_protection,2026-02-28,267.36
M00037,lounge_access,2025-09-23,51.53
M00038,travel_delay,2026-06-20,264.23
M00038,hotel_credit,2025-11-08,105.97
M00039,purchase_protection,2025-12-22,223.52
M00039,travel_delay,2025-12-07,93.92
M00039,hotel_credit,2025-10-23,155.93
M00040,purchase_protection,2025-09-08,252.45
M00041,purchase_protection,2026-05-28,114.05
M00041,extended_warranty,2025-09-18,260.57
M00042,purchase_protection,2025-08-27,208.15
M00043,extended_warranty,2026-07-08,68.45
M00045,purchase_protection,2026-07-17,109.66
M00045,dining_credit,2025-08-15,12.45
M00046,purchase_protection,2026-05-12,207.51
M00046,dining_credit,2026-02-21,60.45
M00048,extended_warranty,2026-02-06,233.69
M00048,lounge_access,2025-12-24,40.13
M00049,extended_warranty,2026-02-04,94.51
M00049,dining_credit,2026-04-27,22.63
M00050,purchase_protection,2025-10-15,32.66
M00050,extended_warranty,2026-05-27,102.54
M00050,dining_credit,2026-06-06,86.05
M00052,purchase_protection,2026-03-12,214.76
M00052,extended_warranty,2025-12-28,182.51
M00052,dining_credit,2026-04-01,50.39
M00053,purchase_protection,2025-09-21,266.89
M00053,hotel_credit,2026-04-06,148.12
M00053,return_protection,2025-12-03,40.22
M00054,purchase_protection,2026-02-28,214.35
M00054,travel_delay,2026-01-10,279.95
M00055,travel_delay,2025-09-06,243.6
M00055,hotel_credit,2026-03-04,90.19
M00056,dining_credit,2026-03-22,58.14
M00057,purchase_protection,2025-12-17,104.04
M00058,dining_credit,2025-10-17,11.74
M00059,purchase_protection,2026-03-02,138.09
M00060,extended_warranty,2025-09-09,271.39
M00061,purchase_protection,2026-02-06,160.46
M00061,extended_warranty,2025-12-12,106.61
M00061,travel_delay,2026-03-30,147.05
M00061,lounge_access,2025-09-04,36.16
M00061,hotel_credit,2026-04-27,177.98
M00062,extended_warranty,2026-05-25,180.94
M00063,purchase_protection,2026-03-28,243.27
M00063,lounge_access,2025-10-10,45.49
M00063,hotel_credit,2025-09-08,125.61
M00064,extended_warranty,2025-08-11,85.13
M00064,lounge_access,2025-09-14,52.43
M00068,purchase_protection,2026-04-21,168.14
M00070,purchase_protection,2025-12-04,49.12
M00071,purchase_protection,2026-02-12,277.09
M00071,extended_warranty,2025-12-23,438.8
M00071,lounge_access,2025-08-10,51.31
M00071,return_protection,2025-10-25,98.27
M00073,purchase_protection,2026-04-07,135.52
M00074,travel_delay,2025-09-30,128.09
M00075,purchase_protection,2025-10-11,109.24
M00076,hotel_credit,2025-07-23,200.29
M00076,return_protection,2026-03-03,185.28
M00077,purchase_protection,2026-01-17,237.01
M00079,purchase_protection,2025-09-30,211.19
M00079,extended_warranty,2025-08-20,78.95
M00082,purchase_protection,2025-08-04,49.58
M00082,travel_delay,2026-07-22,361.62
M00082,lounge_access,2025-11-24,44.3
