transaction_id,member_id,date,mcc,amount
T0000000,M00000,2026-05-30,3000,107.3
T0000001,M00000,2025-12-12,3502,11.62
T0000002,M00000,2025-10-28,5651,38.91
T0000003,M00000,2026-01-02,3002,51.68
T0000004,M00000,2026-01-31,3000,86.16
T0000005,M00000,2026-02-03,5812,219.93
T0000006,M00000,2026-06-14,5541,30.82
T0000007,M00000,2025-09-02,5941,40.53
T0000008,M00000,2025-10-25,5541,39.94
T0000009,M00000,2026-04-15,3501,29.92
T0000010,M00000,2026-01-25,5722,47.13
T0000011,M00000,2026-03-25,5941,144.14
T0000012,M00000,2026-05-10,3001,23.25
T0000013,M00000,2026-04-13,5812,102.29
T0000014,M00000,2025-09-18,5722,12.16
T0000015,M00000,2025-08-22,5651,38.04
T0000016,M00000,2026-04-24,5411,47.97
T0000017,M00000,2025-11-28,7011,355.97
T0000018,M00000,2025-08-09,4511,50.66
T0000019,M00000,2025-09-05,4511,7.38
T0000020,M00000,2026-05-07,7011,9.04
T0000021,M00000,2026-06-19,5411,68.99
T0000022,M00000,2025-12-09,3002,123.2
T0000023,M00000,2026-03-05,5311,97.07
T0000024,M00000,2026-01-24,5541,78.85
T0000025,M00000,2026-06-16,3002,213.21
T0000026,M00000,2025-11-29,7011,38.88
T0000027,M00000,2026-07-04,5311,163.19
T0000028,M00000,2026-01-16,3002,13.04
T0000029,M00000,2026-06-14,5651,26.98
T0000030,M00000,2025-09-12,5541,10.95
T0000031,M00000,2026-01-08,7011,50.66
T0000032,M00000,2025-09-29,4900,63.67
T0000033,M00000,2026-07-02,7011,74.75
T0000034,M00000,2025-10-04,5814,70.94
T0000035,M00000,2026-02-09,5411,26.38
T0000036,M00000,2025-11-09,5722,55.13
T0000037,M00000,2026-06-22,7011,14.92
T0000038,M00000,2026-06-01,4511,260.66
T0000039,M00000,2025-07-23,5651,49.22
T0000040,M00000,2025-11-07,5812,40.9
T0000041,M00000,2026-07-03,3000,326.67
T0000042,M00000,2025-07-26,7011,19.25
T0000043,M00000,2025-12-11,5541,21.64
T0000044,M00000,2025-10-29,5812,22.28
T0000045,M00000,2026-01-18,3501,62.31
T0000046,M00000,2026-03-01,3502,102.68
T0000047,M00000,2025-12-26,4511,139.72
T0000048,M00000,2025-08-10,5311,873.05
T0000049,M00001,2025-09-03,4511,7.03
T0000050,M00001,2026-06-20,4511,37.1
T0000051,M00001,2026-06-05,4900,35.88
T0000052,M00001,2025-08-10,3502,26.88
T0000053,M00001,2026-02-28,3001,359.43
T0000054,M00001,2025-08-21,5722,154.83
T0000055,M00001,2026-02-03,5651,68.25
T0000056,M00001,2025-09-28,5722,257.5
T0000057,M00001,2026-01-25,3002,14.69
T0000058,M00001,2025-08-22,3502,17.62
T0000059,M00001,2026-05-18,5651,7.55
T0000060,M00001,2026-02-15,4900,33.13
T0000061,M00001,2026-01-12,4511,78.39
T0000062,M00001,2026-05-19,5541,73.91
T0000063,M00001,2026-06-06,3503,77.43
T0000064,M00001,2025-11-05,3501,16.26
T0000065,M00001,2026-07-14,3501,148.88
T0000066,M00001,2026-02-15,5812,84.74
T0000067,M00001,2026-04-05,4511,138.8
T0000068,M00001,2025-11-17,5814,10.05
T0000069,M00001,2026-03-30,5722,91.06
T0000070,M00001,2026-05-05,5651,20.33
T0000071,M00001,2026-02-22,5941,44.82
T0000072,M00001,2025-11-06,4900,113.79
T0000073,M00001,2025-10-27,5311,73.05
T0000074,M00001,2025-08-19,4511,28.46
T0000075,M00001,2025-09-10,5722,67.11
T0000076,M00001,2025-09-21,3502,14.42
T0000077,M00001,2026-05-06,5812,210.66
T0000078,M00001,2026-04-22,5812,54.31
T0000079,M00001,2025-12-11,5311,204.09
T0000080,M00001,2025-12-25,3501,39.39
T0000081,M00001,2025-08-11,3000,39.5
T0000082,M00001,2025-12-08,3002,31.06
T0000083,M00001,2025-12-06,3000,160.16
T0000084,M00001,2025-10-23,3000,32.8
T0000085,M00001,2026-02-15,5411,127.05
T0000086,M00001,2026-04-15,3501,45.49
T0000087,M00001,2025-08-10,7011,9.24
T0000088,M00002,2025-11-29,3002,68.99
T0000089,M00002,2026-01-09,5541,20.28
T0000090,M00002,2025-10-26,3503,168.34
T0000091,M00002,2026-05-02,5814,60.88
T0000092,M00002,2025-09-17,5722,55.84
T0000093,M00002,2026-03-17,5311,128.5
T0000094,M00002,2025-08-29,5411,174.85
T0000095,M00002,2026-01-14,4900,65.36
T0000096,M00002,2026-06-01,5541,30.84
T0000097,M00002,2026-05-21,3002,11.31
T0000098,M00002,2026-06-11,5812,33.58
T0000099,M00002,2026-03-06,7011,35.97
T0000100,M00002,2025-11-03,5722,74.22
T0000101,M00002,2025-12-12,5651,47.22
T0000102,M00002,2026-04-01,7011,132.68
T0000103,M00002,2026-01-26,5732,36.13
T0000104,M00002,2025-12-23,5311,62.99
T0000105,M00002,2026-01-02,5541,217.89
T0000106,M00002,2026-01-13,3000,93.86
T0000107,M00002,2026-01-07,5651,62.8
T0000108,M00002,2026-01-13,3000,36.53
T0000109,M00002,2026-07-09,4511,35.4
T0000110,M00002,2026-06-03,4511,28.49
T0000111,M00002,2026-05-10,5722,38.82
T0000112,M00002,2026-07-04,3002,141.98
T0000113,M00002,2025-11-24,5722,53.42
T0000114,M00002,2025-07-27,5411,17.29
T0000115,M00002,2025-12-06,5732,390.79
T0000116,M00002,2026-06-13,5732,91.83
T0000117,M00002,2026-03-14,5814,16.33
T0000118,M00002,2026-05-08,4900,42.87
T0000119,M00002,2025-09-15,5541,74.51
T0000120,M00002,2025-12-19,5941,366.72
T0000121,M00002,2026-02-26,3000,22.02
T0000122,M00002,2026-02-19,5941,176.98
T0000123,M00002,2026-06-29,3000,270.29
T0000124,M00002,2025-12-21,7011,35.56
T0000125,M00002,2026-06-21,5941,50.53
T0000126,M00002,2025-11-10,4900,23.66
T0000127,M00003,2026-07-15,5541,54.41
T0000128,M00003,2025-10-02,3000,198.38
T0000129,M00003,2026-05-11,3002,31.56
T0000130,M00003,2025-12-16,5732,9.32
T0000131,M00003,2025-09-12,3501,65.28
T0000132,M00003,2026-03-22,3503,89.44
T0000133,M00003,2026-04-19,5651,85.58
T0000134,M00003,2025-10-28,3501,48.1
T0000135,M00003,2026-06-19,5541,75.55
T0000136,M00003,2025-10-18,5541,303.52
T0000137,M00003,2025-11-06,4900,97.68
T0000138,M00003,2026-07-13,3502,45.91
T0000139,M00003,2025-11-25,5311,40.44
T0000140,M00003,2025-09-01,3502,56.27
T0000141,M00003,2026-01-13,3001,342.66
T0000142,M00003,2026-07-15,3501,55.52
T0000143,M00003,2026-06-19,3501,65.38
T0000144,M00003,2026-03-22,5941,41.17
T0000145,M00003,2025-09-29,4511,200.13
T0000146,M00003,2026-05-16,5311,473.35
T0000147,M00003,2026-01-24,4900,104.65
T0000148,M00003,2026-01-31,5812,72.44
T0000149,M00003,2025-08-07,7011,69.18
T0000150,M00003,2025-08-01,5411,6.15
T0000151,M00003,2025-09-03,5812,140.49
T0000152,M00003,2026-05-15,5651,76.26
T0000153,M00003,2025-12-01,5311,102.34
T0000154,M00003,2026-02-23,5814,32.74
T0000155,M00003,2026-07-01,5814,45.4
T0000156,M00003,2026-07-02,4511,44.21
T0000157,M00003,2026-02-15,5541,185.23
T0000158,M00003,2026-01-01,4900,45.66
T0000159,M00003,2025-11-23,3001,535.21
T0000160,M00003,2026-07-05,5814,102.6
T0000161,M00003,2026-02-27,3501,18.62
T0000162,M00003,2026-06-29,4511,58.64
T0000163,M00003,2026-03-06,5941,34.76
T0000164,M00003,2026-01-16,3503,7.43
T0000165,M00003,2025-12-31,7011,330.12
T0000166,M00003,2026-01-07,4511,134.71
T0000167,M00003,2026-04-19,5411,113.66
T0000168,M00003,2025-08-03,5411,78.68
T0000169,M00003,2026-01-16,5541,16.74
T0000170,M00003,2026-03-09,5651,41.12
T0000171,M00003,2025-12-18,5651,154.75
T0000172,M00003,2025-12-15,5812,23.31
T0000173,M00003,2025-10-17,3002,5.3
T0000174,M00003,2026-02-09,5941,53.14
T0000175,M00003,2026-06-13,4511,57.87
T0000176,M00003,2025-08-19,3002,76.37
T0000177,M00003,2026-02-17,7011,138.17
T0000178,M00003,2025-09-18,3503,126.17
T0000179,M00003,2026-04-29,7011,86.38
T0000180,M00003,2026-01-25,7011,220.42
T0000181,M00003,2026-07-02,3501,14.6
T0000182,M00003,2025-09-12,3503,110.45
T0000183,M00003,2026-03-05,5311,124.78
T0000184,M00003,2026-06-15,3502,19.31
T0000185,M00003,2026-01-18,5541,14.84
T0000186,M00003,2025-08-10,5812,31.63
T0000187,M00004,2026-07-08,5722,34.41
T0000188,M00004,2025-09-15,7011,28.32
T0000189,M00004,2026-07-06,5722,36.17
T0000190,M00004,2026-06-19,3000,204.1
T0000191,M00004,2025-08-27,3501,67.56
T0000192,M00004,2026-01-19,3502,55.74
